SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TRADED,TRADE_PHASE,TEAM_ABBREVIATION,IS_POST_TRADE,TA_BPM
22023,201935,22300505,2024-01-07,LAC @ LAL,L,39,4,13,0.308,3,7,0.429,4,5,0.8,2,2,4,9,1,0,5,3,15,-1,1,James Harden,False,Pre,LAC,0,5.749999999999999
22023,201935,22300511,2024-01-08,LAC vs. PHX,W,30,6,8,0.75,3,4,0.75,4,4,1.0,0,7,7,10,0,0,3,1,19,25,1,James Harden,False,Pre,LAC,0,8.0
22023,201935,22300526,2024-01-10,LAC vs. TOR,W,34,5,13,0.385,2,7,0.286,2,2,1.0,0,5,5,11,1,0,3,4,14,8,1,James Harden,False,Pre,LAC,0,6.5
22023,201935,22300537,2024-01-12,LAC @ MEM,W,28,3,7,0.429,2,4,0.5,3,3,1.0,0,1,1,9,1,0,3,0,11,20,1,James Harden,False,Pre,LAC,0,4.6
22023,201935,22300553,2024-01-14,LAC @ MIN,L,36,4,14,0.286,2,9,0.222,4,5,0.8,0,1,1,8,2,2,4,3,14,-3,1,James Harden,False,Pre,LAC,0,5.350000000000001
22023,201935,22300568,2024-01-16,LAC vs. OKC,W,41,5,14,0.357,4,10,0.4,2,2,1.0,0,5,5,8,0,1,1,2,16,8,1,James Harden,False,Pre,LAC,0,7.0
22023,201935,22300600,2024-01-21,LAC vs. BKN,W,38,6,11,0.545,3,6,0.5,9,9,1.0,0,5,5,10,2,1,4,2,24,9,1,James Harden,False,Pre,LAC,0,9.249999999999998
22023,201935,22300618,2024-01-23,LAC vs. LAL,W,39,8,17,0.471,4,8,0.5,3,5,0.6,1,1,2,10,1,1,1,3,23,10,1,James Harden,False,Pre,LAC,0,9.149999999999999
22023,201935,22300637,2024-01-26,LAC @ TOR,W,35,8,14,0.571,2,7,0.286,4,4,1.0,0,10,10,13,1,1,1,3,22,27,1,James Harden,False,Pre,LAC,0,10.649999999999999
22023,201935,22300646,2024-01-27,LAC @ BOS,W,27,2,11,0.182,0,6,0.0,5,6,0.833,1,7,8,7,0,0,1,2,9,36,1,James Harden,False,Pre,LAC,0,5.05
22023,201935,22300658,2024-01-29,LAC @ CLE,L,39,3,8,0.375,2,5,0.4,3,4,0.75,0,7,7,10,1,1,3,2,11,-2,1,James Harden,False,Pre,LAC,0,5.799999999999999
22023,201935,22300676,2024-01-31,LAC @ WAS,W,33,7,15,0.467,5,10,0.5,6,6,1.0,1,8,9,5,2,4,2,2,25,20,1,James Harden,False,Pre,LAC,0,9.95
22023,201935,22300688,2024-02-02,LAC @ DET,W,34,1,10,0.1,0,5,0.0,2,2,1.0,1,2,3,6,1,0,1,1,4,8,1,James Harden,False,Pre,LAC,0,2.7000000000000006
22023,201935,22300708,2024-02-04,LAC @ MIA,W,42,7,13,0.538,5,9,0.556,2,4,0.5,0,8,8,11,1,1,4,1,21,10,1,James Harden,False,Pre,LAC,0,8.899999999999999
22023,201935,22300716,2024-02-05,LAC @ ATL,W,39,7,14,0.5,6,9,0.667,10,10,1.0,2,6,8,10,2,1,2,3,30,11,1,James Harden,False,Pre,LAC,0,11.999999999999998
22023,201935,22300731,2024-02-07,LAC vs. NOP,L,38,6,11,0.545,5,6,0.833,2,3,0.667,1,7,8,5,1,1,4,2,19,-1,1,James Harden,False,Pre,LAC,0,7.1
22023,201935,22300749,2024-02-10,LAC vs. DET,W,36,4,11,0.364,2,8,0.25,4,4,1.0,0,6,6,8,1,1,5,1,14,8,1,James Harden,False,Pre,LAC,0,5.65
22023,201935,22300770,2024-02-12,LAC vs. MIN,L,32,5,13,0.385,3,8,0.375,4,5,0.8,0,2,2,6,1,1,0,0,17,-9,1,James Harden,False,Pre,LAC,0,6.799999999999999
22023,201935,22300789,2024-02-14,LAC @ GSW,W,40,7,12,0.583,4,9,0.444,8,9,0.889,2,6,8,7,0,1,1,0,26,13,1,James Harden,False,Pre,LAC,0,10.249999999999998
22023,201935,22300799,2024-02-22,LAC @ OKC,L,29,5,9,0.556,3,6,0.5,4,4,1.0,2,4,6,2,1,0,3,2,17,-7,1,James Harden,False,Pre,LAC,0,5.75
22023,201935,22300807,2024-02-23,LAC @ MEM,W,39,1,8,0.125,1,4,0.25,6,7,0.857,1,7,8,8,0,1,4,0,9,3,1,James Harden,False,Pre,LAC,0,4.6
22023,201935,22300827,2024-02-25,LAC vs. SAC,L,35,4,13,0.308,2,10,0.2,10,10,1.0,0,5,5,8,0,0,3,3,20,-25,1,James Harden,False,Pre,LAC,0,7.6
22023,201935,22300848,2024-02-28,LAC vs. LAL,L,40,8,16,0.5,2,9,0.222,5,6,0.833,1,2,3,9,1,0,4,1,23,-12,1,James Harden,False,Pre,LAC,0,8.249999999999998
22023,201935,22300865,2024-03-01,LAC vs. WAS,W,25,9,13,0.692,6,9,0.667,4,4,1.0,1,3,4,8,0,3,3,1,28,19,1,James Harden,False,Pre,LAC,0,10.15
22023,201935,22300873,2024-03-03,LAC @ MIN,W,34,0,10,0.0,0,6,0.0,4,4,1.0,0,5,5,10,1,2,1,1,4,-10,1,James Harden,False,Pre,LAC,0,4.0
22023,201935,22300880,2024-03-04,LAC @ MIL,L,37,9,16,0.563,5,10,0.5,6,9,0.667,0,4,4,8,0,1,3,2,29,-4,1,James Harden,False,Pre,LAC,0,10.249999999999998
22023,201935,22300897,2024-03-06,LAC @ HOU,W,39,6,13,0.462,1,5,0.2,8,8,1.0,0,5,5,7,1,1,2,2,21,8,1,James Harden,False,Pre,LAC,0,8.149999999999999
22023,201935,22300917,2024-03-09,LAC vs. CHI,W,34,4,10,0.4,4,10,0.4,2,2,1.0,0,11,11,10,1,0,1,2,14,4,1,James Harden,False,Pre,LAC,0,7.699999999999999
22023,201935,22300924,2024-03-10,LAC vs. MIL,L,36,5,16,0.313,1,6,0.167,2,2,1.0,3,2,5,11,0,0,5,4,13,-13,1,James Harden,False,Pre,LAC,0,5.6
22023,201935,22300944,2024-03-12,LAC vs. MIN,L,34,4,10,0.4,2,6,0.333,2,2,1.0,0,2,2,7,2,0,4,1,12,-15,1,James Harden,False,Pre,LAC,0,4.5
22023,201935,22300982,2024-03-17,LAC vs. ATL,L,36,3,10,0.3,2,5,0.4,1,1,1.0,0,6,6,9,1,1,3,2,9,-15,1,James Harden,False,Pre,LAC,0,4.85
22023,201935,22301003,2024-03-20,LAC @ POR,W,36,6,11,0.545,5,9,0.556,2,2,1.0,0,4,4,14,0,1,3,1,19,22,1,James Harden,False,Pre,LAC,0,8.45
22023,201935,22301017,2024-03-22,LAC @ POR,W,36,5,13,0.385,2,9,0.222,3,4,0.75,1,4,5,10,1,1,2,1,15,21,1,James Harden,False,Pre,LAC,0,6.949999999999999
22023,201935,22301028,2024-03-24,LAC vs. PHI,L,34,5,13,0.385,0,6,0.0,2,2,1.0,1,3,4,14,1,1,2,0,12,-16,1,James Harden,False,Pre,LAC,0,6.699999999999999
22023,201935,22301043,2024-03-25,LAC vs. IND,L,34,3,7,0.429,0,1,0.0,5,5,1.0,0,3,3,7,1,0,1,3,11,-24,1,James Harden,False,Pre,LAC,0,5.0
